,City Name,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,cucerdea,46.4,60.85,67,40,3.36
1,pompano beach highlands,26.2825000,71.37,60,1,9.17
2,dillenburg,50.733333,48.2,81,75,13.87
3,bruhl,49.397222,56.17,66,40,11.41
4,kaliyaganj,25.633333,72.1,79,0,2.82
5,njinikom,6.2333333,69.94,65,92,3
6,chirkey,42.961314,50,87,90,11.18
7,chai badan,15.206139,77.05,72,44,5.57
8,blagoveshchensk,50.266667,42.8,81,40,8.95
9,pyatnitskoye,50.4233,44.43,94,88,8.25
10,ubrique,36.677775,79.7,30,0,4.7
11,bagn,60.816667,38.71,81,92,5.01
12,villavicencio,4.142002,70.53,68,8,1.88
13,verkhniy landekh,56.839706,27.37,83,8,11.95
14,velden am worthersee,46.616111,57.79,50,75,11.41
15,culaman,5.960278,74.53,93,0,2.04
16,roshal,55.668534,31.78,87,92,8.3
17,pau brasil,-15.45,80.43,79,80,10.83
18,barbosa ferraz,-24.066667,69.36,100,88,8.75
19,volos,39.3666667,69.1,60,0,4.7
20,babakan,-6.8275,68.77,99,92,2.21
21,samatau,-13.9,49.96,93,0,1.59
22,rio branco do sul,-25.166667,68,82,75,8.05
23,martaban,16.5313889,73.86,97,80,3
24,nizhniy bestyakh,61.959444,21.2,79,40,6.71
25,de panne,51.1,57.81,62,40,10.29
26,montemor-o-novo,38.648117,80.6,21,0,3.36
27,wiarton,44.733333,44.6,81,90,11.41
28,banki,20.383333,80.6,83,80,3.36
29,ocland,46.166667,54.78,64,64,11.95
30,astara,38.4291,58.89,72,75,4.7
31,llanera,43.433333,68,77,0,8.05
32,boulogne-billancourt,48.835684,59.25,58,40,9.17
33,hartford,41.7636111,46.4,70,1,6.93
34,majalengka,-6.836111,73.5,94,8,3.71
35,arambagh,22.883333,73.05,74,0,2.89
36,mosna,46.083333,62.71,42,0,18.34
37,beresti-bistrita,46.716667,60.8,72,40,10.29
38,caleta de carquin,-11.1,72.19,50,8,2.77
39,pyatigorskiy,43.974167,44.56,95,76,4.61
40,springville,40.1652778,33.8,86,1,6.93
41,isla,15.8954,76.06,100,24,5.23
42,waiuku,-37.25,60.8,93,92,4.7
43,bitanhuan,10.5955,74.31,100,20,0.76
44,kadipur,26.166667,71.25,59,0,3.83
45,malappuram,11.066667,77,94,75,4.7
46,zaragoza,41.64531,74.41,49,20,34.45
47,anahuac,22.2,68,94,5,7.92
48,lewisburg,35.4491667,55.76,71,1,9.17
49,singen,47.766667,54.46,66,40,5.82
50,pully,46.510544,59.38,52,40,11.41
51,bailieborough,53.9166667,52.48,88,0,6.58
52,silanga,11.818056,76.42,100,48,3.33
53,davenda,53.5506,26.7,76,88,8.81
54,casa quemada,15.2666667,69.8,100,75,2.37
55,schwetzingen,49.378056,57.2,58,20,13.87
56,arruda dos vinhos,38.984106,83.32,32,0,12.75
57,primero de marzo,-25.15,66.2,100,90,8.05
58,sorgun,39.810125,49.65,70,0,2.82
59,wakefield,42.5063889,54.54,71,20,11.41
60,atessa,42.066667,66.2,77,0,9.17
61,agliana,43.9,61.59,77,75,3.36
62,melilli,37.183333,72.82,64,0,9.17
63,monino,55.842439,31.55,89,90,8.95
64,kipalbig,6.410833,73.45,97,0,2.37
65,bytkiv,48.629684,50,93,75,8.95
66,ancud,-41.869722,50.73,100,92,8.3
67,ouidah,6.3666667,87.8,70,20,12.75
68,borsodnadasd,48.116667,51.04,97,92,6.35
69,namyslow,51.075035,50,87,75,18.34
70,lukovskaya,43.729516,46.9,90,20,3.27
71,dapdap,12.2155,77.77,100,20,4.9
72,boromlya,50.618385,45.96,97,92,7.4
73,ivrea,45.466667,67.6,40,0,1.12
74,lagunillas,21.033333,86.73,84,0,3.6
75,shelui,-4.3666667,80.38,59,56,3.04
76,champasak,14.883333,77.32,72,64,5.5
77,dzerzhinsk,48.398694,30.2,74,75,8.95
78,manpur,22.433333,70.53,45,0,3.49
79,paramount,33.8894444,60.51,63,1,2.48
80,dmitriyevka,54.448661,28.4,79,90,8.95
81,varnamo,57.183333,41.94,86,90,8.05
82,karari,25.45,74.89,62,12,3.78
83,palos verdes estates,33.8005556,61.34,52,1,2.48
84,micomeseng,2.1333333,75.88,92,68,3.49
85,nuristan,34.95,19.41,82,0,0.81
86,moroni,-11.7041667,87.8,66,20,20.8
87,gurjaani,41.7430556,46.99,71,0,1.7
88,arbazh,57.680405,23.1,84,24,4.56
89,ramsgate,51.333333,58.1,62,20,10.29
90,landang,6.958333,56.3,58,20,6.93
91,gumaus,14.3103,81.28,100,44,1.59
92,uberlandia,-18.916667,85.2,58,64,7.07
93,atyuryevo,54.322896,31.65,95,92,8.86
94,sulina,45.15,57.03,89,36,8.03
95,kefalovrison,39.5805556,71.6,28,0,1.81
96,novallas,9.5117,75.3,89,56,2.55
97,odiong,12.5931,75.07,93,24,2.33
98,mardan,34.201946,75.2,33,5,4.7
99,saratovskaya,44.707521,57.2,67,0,13.42
100,laureles,-27.25,69.8,83,1,11.41
101,vladivostok,43.128056,51.8,93,90,8.41
102,chapleau,47.833333,30.2,92,90,16.11
103,cizre,37.327222,71.29,36,92,4.05
104,talang,15.0143,81.21,78,90,2.24
105,tiszasuly,47.383333,53.6,100,90,6.93
106,amreli,21.616667,79.12,39,8,7.52
107,alibagu,17.1,90.14,58,0,5.82
108,aksaray,38.37255,68,28,0,4.7
109,orsha,56.91196,41.88,93,90,4.47
110,lindenberg,47.6,57.81,58,20,13.87
111,krestena,37.6166667,71.06,52,0,8.05
112,lingasad,8.4966,71.25,100,8,3.04
113,tosya,41.015447,59,62,40,6.93
114,chandler,33.3061111,61.2,33,5,6.93
115,paskov,49.733452,48.02,81,40,5.82
116,popesti,47.233333,54.19,93,75,13.87
117,basiao,11.548611,71.65,95,12,2.37
118,coracora,-15.0333333,64.09,16,0,3.04
119,newberry,34.2744444,50.45,71,1,4.7
120,aiyinion,40.5013889,74.91,40,0,29.97
121,hamada,34.883333,55.45,87,0,4.27
122,cerro cama,9.03,81.45,88,40,2.24
123,lulea,65.583333,37.4,86,0,9.17
124,bartlett,41.9950000,59.02,71,90,6.93
125,that phanom,16.936361,80.6,69,20,6.93
126,staryy cherek,43.471389,40.2,91,12,2.77
127,kohtla-jarve,59.3986111,32.46,100,68,3.78
128,bili oslavy,48.487218,50,93,75,8.95
129,shanting,35.075278,50.05,81,0,5.28
130,san juancito,14.2166667,78.36,100,76,1.88
131,mons,50.45,55.96,62,40,6.93
132,estancia velha,-29.65,75.2,78,75,9.17
133,la rinconada,37.487342,86,17,0,10.29
134,jizan,16.889167,95,53,20,13.87
135,the village,35.5608333,37.4,64,75,25.28
136,talitsa,57.010946,21.2,85,75,2.24
137,gadag,15.416667,76.15,58,92,4.83
138,chingola,-12.5333333,75.03,75,68,5.91
139,baktaloranthaza,48,54.45,82,75,10.29
140,becerril,9.704134,80.47,76,8,0.87
141,perisani,45.383333,62.6,42,0,18.34
142,ilkal,15.966667,75.03,63,32,6.51
143,engel-yurt,43.326328,45.55,98,8,2.77
144,sevan,40.555,69.8,26,36,1.1
145,sergio osmena sr,8.166667,71.25,100,8,3.04
146,mudbidri,13.083333,77,83,75,3.36
147,crauthem,49.5355556,55.44,62,20,13.87
148,goragorskiy,43.500199,46.09,94,8,2.82
149,hickory hills,41.7255556,38.59,100,90,12.75
150,kriva palanka,42.2019444,68,42,0,2.24
151,macaiba,-5.716667,84.2,70,75,18.34
152,vaitele,-13.8166667,80.6,78,40,6.93
153,montrouge,48.816202,59.25,58,40,9.17
154,havlickuv brod,49.614082,50.56,76,75,24.16
155,yetkul,54.8221,26.6,92,75,2.24
156,san narciso,13.5677,80.6,78,20,1.12
157,burgeo,47.6,50.46,99,76,20.83
158,bascov,44.9,55.63,75,48,3.38
159,san antonio de la cal,17.030833,53.6,93,40,3.04
160,allentown,40.6083333,42.06,75,1,3.33
161,peciu nou,45.606389,63.18,72,0,6.93
162,kalkar,51.733333,57.2,62,20,6.93
163,dumfries,55.066667,41.92,100,1,4.38
164,bagepalli,13.784722,71.6,94,20,8.05
165,eidfjord,60.466667,34.12,97,92,7.36
166,paine,-33.816667,59.92,72,0,2.24
167,jefferson,29.9658333,42.71,87,1,6.51
168,luna,10.969,76.51,87,8,5.57
169,enfield,43.6405556,59,62,40,12.75
170,oakland park,26.1719444,71.19,73,20,4.7
171,temanggung,-7.175556,72.96,100,88,3.04
172,bondoukou,8.040201,89.6,62,75,4.12
173,rombas,49.249107,56.55,58,40,10.29
174,tepatitlan,20.816667,48.2,87,20,4.05
175,moreira de conegos,41.386797,85.62,39,0,2.24
176,jacareacanga,-6.266667,84.2,79,75,2.24
177,serramanna,39.424444,75.2,60,40,16.11
178,cartago,4.746389,69.8,77,40,2.24
179,bucerias,20.75,71.6,88,5,7.07
180,binga,2.383333,93.93,35,76,3.89
181,luau,-10.707273,76.51,75,92,3.11
182,ikskile,56.8333333,39.2,86,40,3.36
183,chanal,16.716667,62.6,93,40,3.36
184,karachev,53.122918,44.6,93,75,2.24
185,kabrai,25.416667,76.51,42,44,1.99
186,alabino,55.526787,31.57,92,75,6.71
187,nova varos,43.460556,59,47,0,4.7
188,tamuin,21.983333,68.32,81,0,4.34
189,sulucan,14.8,81.45,94,20,1.12
190,alba iulia,46.066667,63.63,42,0,18.34
191,carmo,-21.933333,81.19,44,56,9.42
192,corbeni,45.3,62.6,42,0,18.34
193,brinkovskaya,46.028712,54.37,91,92,11.27
194,lohmar,50.833333,54.32,71,40,17.22
195,yuzhnyy-kospashskiy,58.969478,18.6,82,68,2.48
196,helsingborg,56.05,48.2,76,20,14.99
197,pakxe,15.116667,77.32,72,64,5.5
198,puyallup,47.1855556,44.26,100,90,3.36
199,cristesti,46.5,60.87,67,40,3.36
200,las margaritas,16.316667,64,83,32,1.81
201,progreso,8.45,62.6,88,40,3.49
202,bradu,44.783333,55.63,75,48,3.38
203,jaragua,-15.75,82.4,37,0,1.12
204,calw,48.716667,56.39,71,40,13.87
205,quinabigan,12.993604,72.46,100,48,2.59
206,khobi,42.3269444,60.8,72,40,5.82
207,jalu,29.0333333,48.2,87,20,3.04
208,mogpog,13.474444,80.29,100,76,2.59
209,atescatempa,14.174444,74.1,82,0,3.27
210,catazaja,17.725,74.17,100,0,4.38
211,handwara,34.4,66.21,77,0,2.48
212,saran,47.950127,60.8,72,90,10.29
213,troon,55.533333,54.75,71,20,8.05
214,saint-etienne,45.435382,60.3,76,90,10.29
215,motozintla,15.366667,75.2,94,75,0.87
216,stelle,53.383333,54.93,66,20,17.22
217,anar darreh,32.758698,60.18,42,8,4.23
218,quattro castella,44.633333,65.62,55,0,3.36
219,sendriceni,47.95,51.8,87,75,9.17
220,terracina,41.283333,67.1,72,75,4.7
221,kardamas,37.7666667,71.04,52,0,8.05
222,esteli,13.0833333,64.4,100,75,3.04
223,bolshiye berezniki,54.176293,29.71,81,88,11.61
224,gavar,40.3588889,73.45,45,0,8.59
225,mandawar,27.866667,64.68,77,0,4.83
226,sabang,14.6951,81.1,100,76,12.1
227,kato kamila,41.0166667,65.98,46,0,2.21
228,francistown,-21.1666667,77,61,0,13.87
229,surinam,-20.5097222,78.8,69,75,14.99
230,erikoussa,39.8808333,71.6,68,20,6.93
231,margarita,9.3313889,81.46,88,40,2.24
232,smila,49.22242,47.44,97,92,4.5
233,cubulero,13.4833333,26.6,68,1,9.17
234,villa rica,-10.7166667,48.16,81,1,4.12
235,paicandu,-23.45,69.45,100,88,8.3
236,saray,40.532222,60.8,82,75,14.99
237,parincea,46.483333,60.8,72,40,10.29
238,stratos,38.6666667,70.7,73,20,8.05
239,lady lake,28.9172222,58.93,72,0,5.82
240,purwa,26.466667,77,47,0,3.22
241,mairi,-11.716667,85.6,55,36,7.07
242,aban,56.6787,29.13,77,88,11.61
243,alhandra,-7.433333,82.4,69,75,14.99
244,concord,35.4086111,53.87,87,1,3.36
245,hauge,58.35,52.48,100,92,29.1
246,pinotepa de don luis,16.416667,82.36,58,0,3.6
247,manibaug,15.1012,80.6,78,90,2.24
248,swedru,5.5333333,86,74,20,13.87
249,tarrafal,15.2833333,83.31,92,0,8.25
250,balyaga,51.1507,21.25,60,76,7.14
251,maidenhead,51.516667,56.3,54,0,4.7
252,araua,-11.266667,80.6,74,75,11.41
253,toyoshina,36.3,31.87,82,0,1.81
254,yashan,22.1975,67.83,82,0,3
255,krasnyye chetai,55.688708,23.41,87,24,9.08
256,warren,41.2375000,52.52,66,90,6.93
257,temoaya,19.470833,46.54,93,20,2.77
258,cocal,-3.466667,71.65,100,0,5.73
259,pec,42.66,48.2,81,75,20.8
260,skali,62.15,33.8,86,90,6.93
261,odiongan,8.845833,81.15,100,44,8.52
262,talitsy,56.52801,28.23,86,56,12.17
263,biri,12.683333,79.39,100,32,5.73
264,schalksmuhle,51.233333,54.25,71,40,9.17
265,solin,43.55,64.4,72,0,5.82
266,atotonilco el alto,20.55,62.2,73,0,2.82
267,green,40.9458333,49.57,61,1,8.05
268,dologon,7.840833,65.4,87,24,1.59
269,ozubulu,5.956656,87,84,36,4.34
270,catbalogan,11.775278,76.42,100,48,3.33
271,itoman,26.124722,79.38,88,75,19.46
272,calasgasan,14.083333,76.2,100,92,2.71
273,san giustino,43.55,65.39,59,0,2.24
274,colchester,51.883333,56.3,58,40,6.93
275,greenfield,39.7850000,37,69,90,16.11
276,willimantic,41.7105556,47.23,70,1,4.7
277,khani,57.033333,60.8,72,40,5.82
278,knezica,45.1027778,62.6,67,20,6.93
279,augustow,53.844711,46.5,100,80,10.65
280,benton,34.5644444,58.41,62,90,16.11
281,heerlen,50.882832,56.97,66,90,10.29
282,puerto castilla,16.0166667,75.2,94,90,11.41
283,pato-o,12.430556,81.15,100,44,8.52
284,winchester,42.4522222,56.93,58,40,1.12
285,kozlovice,49.600238,48.07,81,40,5.82
286,brcko,44.8727778,64.31,55,0,3.36
287,carstairs,55.7,34.36,64,75,2.24
288,burgdorf,52.45,55.4,76,40,10.29
289,abramut,47.316667,54.21,93,75,13.87
290,kopayhorod,48.859171,49.33,96,92,4.9
291,aptos,36.9772222,55.67,81,1,3.36
292,dakor,22.75,84.2,39,0,3
293,sutton in ashfield,53.116667,54.32,71,40,12.75
294,terdal,16.5,76.42,67,44,4.27
295,ypsilanti,42.2411111,51.64,62,90,8.05
296,cociuba mare,46.733333,53.6,93,75,13.87
297,concepcion batres,13.35,78.8,65,0,2.24
298,potrerillos,14.55,69.8,100,75,2.37
299,schertz,29.5519444,58.73,47,1,17.22
300,san miguel,11.2146,80.6,78,90,2.24
301,sao joao da ponte,-15.933333,93.52,33,32,11.1
302,woodbridge,38.6580556,45.43,66,1,3.38
303,daneasa,44.15,64.4,59,0,3.36
304,woodend,-43.316667,44.6,93,0,5.82
305,nueva loja,0.0847222,75.2,94,0,2.24
306,mvuma,-19.2833333,84.66,23,100,3.71
307,periam,46.05,60.17,82,40,8.05
308,porlamar,10.95,86,74,20,8.59
309,lufilufi,-13.85,80.6,78,40,6.93
310,feroke,11.183333,77,94,75,4.7
311,kosikha,53.361667,22.24,83,0,5.91
312,vokhtoga,58.769705,27.64,82,68,8.63
313,chengdu,30.666667,59,93,20,2.48
314,north creek,47.8197222,47.44,100,40,5.82
315,lamont,53.75,58.28,52,1,3.36
316,calsib,15.8464,76.06,100,24,5.23
317,pance,15.6885,80.6,78,90,2.24
318,domanpot,16,71.74,92,48,1.36
319,iles,.974909,50,87,40,0.87
320,pandamatenga,-18.2666667,96.8,19,0,4.7
321,eminabad,32.042188,75.83,53,0,3.36
322,giroc,45.694167,63.25,72,0,6.93
323,hendijan,30.2363,94.01,19,0,6.93
324,goderich,8.4319444,51.94,77,56,19.37
325,college,64.8569444,32.59,77,75,3.36
326,protivin,49.201066,46.36,94,36,17.2
327,policka,49.715579,50.59,81,75,14.99
328,oildale,35.4197222,51.93,48,1,4.23
329,rongu,58.1452778,32,94,90,5.82
330,hatsukaichi,34.35,62.6,82,75,3.36
331,chelyabinsk-70,56.085,26.6,92,75,2.24
332,labelle,46.283333,62.58,77,1,9.17
333,concepcion,14.783333,55.4,82,20,5.82
334,dingzhou,38.513056,51.8,100,0,1.36
335,weilburg,50.483333,54.43,81,75,13.87
336,harsum,52.216667,55.4,71,75,17.22
337,dos hermanas,37.282867,84.78,17,0,10.29
338,apulia,41.485125,85.68,39,0,2.24
339,ikere,7.491328,85.87,77,20,3.56
340,malindi,-3.2166667,81.19,78,12,11.16
341,baraya,3.153333,77.86,63,12,0.69
342,ballingry,56.15,53.6,66,20,13.87
343,vigo,13.826657,86,35,0,1.12
344,hangzhou,30.29365,62.6,82,80,4.47
345,sosnovka,56.189328,25.12,91,48,3
346,sale,-38.11095,78.8,41,0,6.93
347,san francisco el alto,14.95,75.2,88,75,3
348,villa corzo,16.166667,62.6,93,40,3.36
349,santo nino,13.1043,73.45,97,0,2.37
350,lahnstein,50.3,52.02,66,40,13.87
351,los palacios,22.5872222,78.49,75,0,8.41
352,nanca,10.85564,76.51,87,8,5.57
353,pingyi,35.500556,47.17,81,0,2.71
354,raeren,50.683333,56.14,66,90,10.29
355,jicaro galan,13.5316667,59,100,90,3.27
356,backo petrovo selo,45.708056,59,77,90,8.05
357,kosum phisai,16.248584,78.8,83,20,3.36
358,manta,5.008643,73.4,88,75,8.05
359,belle fourche,44.6713889,17.33,57,1,9.17
360,mangrul pir,20.316667,68.77,58,0,3.04
361,ondo,7.1,88.75,61,8,2.33
362,lebanon,43.6422222,56.48,62,1,16.46
363,korycany,49.109827,50.83,76,75,16.11
364,miaga,12.2376,80.43,99,48,5.5
365,paralia,40.2680556,70.65,46,0,4.7
366,pirayu,-25.483333,66.2,100,90,8.05
367,madulari,45.033333,55.81,78,80,3
368,palo alto,21.916667,57.18,72,1,1.1
369,sikonge,-5.6333333,67.2,100,48,4
370,markkleeberg,51.283333,53.6,76,75,25.28
371,nyamati,14.15,73.41,84,92,0.81
372,lakewood,33.8536111,19.06,79,40,3.04
373,oud-beijerland,51.817051,56.91,82,76,11.41
374,old saybrook,41.2916667,49.86,53,1,4.7
375,stoenesti,45.116667,55.63,72,48,4
376,pachalum,14.924722,59,93,75,2.55
377,muragachha,23.533333,72.55,79,0,2.77
378,urman,54.88314,25.98,77,76,2.71
379,ayia varvara,35.1333333,70.93,52,20,6.93
380,goaigoaza,10.4491667,81.82,81,20,1.21
381,galion,40.7336111,50.45,76,1,6.93
382,kefar weradim,32.993849,84.13,22,0,6.93
383,ellisville,38.5925000,43.39,56,90,16.11
384,diadi,16.662,68.32,97,92,2.59
385,benevides,-1.366667,86,66,75,13.87
386,volodarka,49.524836,46.95,97,92,10.27
387,ridgetown,42.433333,59.73,65,24,16.46
388,finale emilia,44.833333,65.57,55,0,3.36
389,laguilayan,6.6525,73.45,97,0,2.37
390,rudnik,50.608353,48.2,87,40,9.17
391,graaff-reinet,-32.25,57.03,42,0,11.61
392,bridgeton,39.4272222,46.65,87,1,4.56
393,ardassa,40.4833333,68,32,0,4.7
394,duderstadt,51.516667,51.8,76,75,18.34
395,valencia,11.108889,81.82,81,20,1.21
396,santa cruz del valle,20.533333,48.2,87,20,3.04
397,governador valadares,-18.85,91.68,44,0,9.26
398,clark,40.6408333,45.55,66,1,3.38
399,lake shore,39.1069444,46.22,76,1,4.7
400,murmansk,68.979174,32,84,75,6.71
401,shamkhal,43.05958,50,87,90,11.18
402,nanma,36.181667,46.41,84,0,2.59
403,loxstedt,53.466667,55.4,71,75,17.22
404,boca del rio,19.1,64.4,93,5,7.36
405,uren,57.455163,24.63,93,24,5.28
406,waidhofen,47.966667,51.28,66,40,13.87
407,stabat,3.761,80.6,83,40,5.82
408,north andover,42.6986111,48.38,66,1,5.82
409,stirion,38.4,61.48,68,0,2.1
410,tank,32.221683,58.42,67,0,2.26
411,buena vista,-17.45,48.72,76,75,6.93
412,yelizovo,53.1873,32,78,64,6.71
413,murzzuschlag,47.6,53.6,58,75,20.8
414,fortaleza,-3.316667,87.8,55,75,16.11
415,tinubdan,11.186,81.37,100,44,4
416,cansilayan,10.559761,76.51,87,8,5.57
417,khvastovichi,53.46942,44.6,93,75,2.24
418,alfonsine,44.506111,65.75,55,0,3.36
419,puelay,15.885,75.66,96,64,0.09
420,bron,45.740218,59.83,63,0,18.34
421,tomelloso,39.158516,77.59,43,0,6.62
422,atascocita,29.9986111,64.58,77,90,5.82
423,venlo,51.370837,56.95,62,20,6.93
424,doicesti,44.983333,55.63,72,48,4
425,anqing,30.509167,57.7,93,0,5.5
426,alaca,40.168333,52.71,54,0,3.38
427,ouro preto,-20.383333,84.03,48,64,7.92
428,becsehely,46.447551,50,81,75,24.16
429,kesteren,51.934719,56.61,71,75,13.87
430,leimen,49.351111,57.2,58,20,13.87
431,ocos,14.509444,75.2,88,75,3.56
432,parede,38.692815,83.3,32,0,12.75
433,nyborg,55.305846,51.8,87,75,12.75
434,kandhla,29.316667,63.82,68,0,2.77
435,trudovoye,43.305833,51.8,93,90,8.41
436,asosa,10.066667,68.32,98,12,3.83
437,new guinlo,10.8009,77.55,100,64,0.2
438,carmen,10.593056,75.66,96,64,0.09
439,sadsalan,6.823056,73.45,97,0,2.37
440,borup,55.494716,50,76,44,11.41
441,lawton,34.6086111,42.1,56,75,26.4
442,dvorichna,49.849629,45.06,96,92,8.08
443,cuxhaven,53.883333,55.4,71,75,17.22
444,linay,8.5207,77.73,100,8,2.77
445,vomp,47.333333,48.2,87,75,6.93
446,santa cruz mulua,14.583333,75.2,88,75,3.11
447,krasnokholm,51.59787,27.55,92,76,7.58
448,namikupa,-10.8166667,82.41,64,48,11.77
449,xicohtzinco,19.173611,57.75,54,0,3.6
450,hienghene,-20.6833333,73.81,100,56,8.59
451,zhukovo,55.031783,32.01,96,56,2.33
452,huaiyuan,32.958933,53.29,95,0,3.56
453,altos,-25.233333,93.2,44,40,11.41
454,papagaios,-19.533333,92.13,39,32,10.65
455,lufkin,31.3380556,60.15,87,40,4.7
456,san cristobal,22.7141667,82.4,61,40,4.7
457,san rafael,10.013202,68.5,30,0,8.03
458,mamaku,-38.1,50.91,94,100,6.06
459,ararat,-37.285419,66.81,26,0,2.48
460,vigia del fuerte,6.578911,73,100,92,0.81
461,bweyogerere,0.3558333,80.6,65,20,9.17
462,sibiti,-3.6858333,78.9,86,80,4.27
463,fairview park,41.4413889,49.78,57,75,18.34
464,herent,50.9,57.22,67,20,9.17
465,muttupet,10.4,79.21,100,32,4.23
466,rheinberg,51.55,57.2,58,40,12.75
467,donsol,12.9055,75.3,95,20,2.89
468,san felipe,14.0184,84.21,66,32,3.56
469,seregno,45.65,71.62,52,0,6.93
470,langreo,43.300086,68,77,0,8.05
471,ashland,38.4783333,54.64,72,1,3.04
472,dagshai,30.883333,66.34,54,0,6.29
473,stroitel,50.785427,46.4,93,75,11.18
474,dessalines,19.2833333,82.4,65,75,2.24
475,yanan,36.598889,40.65,86,0,3.78
476,poros,37.4994444,71.11,52,20,6.93
477,belebey,54.116667,22.6,88,80,4.38
478,conceicao do coite,-11.55,86.28,61,0,5.12
479,budhgaon,16.9,70.71,91,24,3.6
480,bad krozingen,47.916272,59.05,71,75,6.93
481,amboise,47.412491,59,87,75,3.36
482,zhelnino,56.202298,30.2,74,75,8.95
483,silawit,16.873156,73.05,86,64,2.59
484,bytosh,53.818611,44.6,93,75,2.24
485,lenti,46.624027,51.78,87,90,12.75
486,hjelset,62.783333,48.2,87,75,27.51
487,idappadi,11.583333,74.98,89,48,2.37
488,altotonga,19.766667,65.53,76,0,1.77
489,chipiona,36.736628,83.37,30,0,4.7
490,rutul,41.535663,69.8,43,44,6.93
491,kalamata,37.0388889,69.8,46,20,9.17
492,droitwich,52.266667,56.71,66,40,5.82
493,mitu,1.198333,88.84,66,0,2.89
494,morbegno,46.133333,66.4,61,75,18.34
495,kasuga,33.526111,66.2,77,20,4.7
496,ferrandina,40.483333,70.74,73,0,6.93
497,dakoro,14.5105556,91.54,15,0,13.29
498,sanford,35.4797222,63.5,63,1,6.93
499,kabansk,52.048611,24.8,85,75,2.24
